0;1; guter Arbeitgeber
1;1; Muss mit anderem Kommunikationsunternehmen  herausfordern
2;1; Management und Kultur
3;1; Chefs agieren als Anführer, nicht wie ein Chef
4;1; Er ist eine proaktive Person, die über die Zukunft des Unternehmens nachdenkt
5;1; Management hat keine Sorge über Arbeiter
6;1; ich weiß wirklich zu schätzen, wie sehr mein Chef uns unterstützt, insbesondere wenn es um andere Probleme mit unseren Kunden geht
7;1; flache Hierarchie
8;1; Kettenmanagement
9;1; Förderung aufgrund von Bevorzugung, nicht tatsächlicher Leistung
10;1; Große Organisation
11;1; Das Unternehmen
12;1; Druck wie ein anderes Unternehmen
13;1; Bestes Bankensystem
14;1; Das Management weiß, auf welchen Bereich es sich konzentrieren muss
15;1;  Unschärfeprozess aufgrund größerer Fusionsaktivitäten mit anderen Banken
16;1; netter Chef
17;1; familien- und islamisch orientiertes Unternehmen
18;1; JOB LIMIT
19;1; Prozess beim Protokollieren eines Berichts wird eingerichtet
40;1; Großes Filialnetz
43;2; Sie zahlen für EPF im Vergleich zu anderen hoch
44;2; Besseres Gehaltspaket und Leistungen für die Mitarbeiter
45;2; Gehalt hoch
46;2; Bitte überarbeiten Sie Ihr Zulassungspaket, zumal es nicht billig ist, in die Innenstadt von KL zu pendeln und dort zu essen
47;2; Für Praktikanten gibt es keine Vorteile für den öffentlichen Verkehr
48;2; Herausforderung ist mit einer hohen Vergütung verbunden
49;2; Versicherungsschutz
50;2; Große Belohnung und Anerkennung
51;2; sehr guter medizinischer Nutzen
52;2; Die Darsteller werden belohnt
53;2; große Vorteile
54;2; kann wenn im Seitenarbeiten reisen
55;2; gute EPF-Auszahlung und Boni
54;2; kein Vorteil
57;2; kann viele Provisionen aus dem Verkauf erhalten
58;2; Anpassungsgehalt stimmt nicht mit der Beförderung und die Bildung überein
59;2; geringes jährliches Inkrement
60;2; Verdienen Sie gute Incentive-Zahlungen
61;2; hoffe, das Management wird das Anreizsystem nicht weiter ändern
62;2; Das Gehalt und das Gespräch mit Kunden
82;3; gute Lernumgebung
83;3; nicht genug Platz zum Essen
84;3; Unterstützende Arbeitsverwaltung
85;3; arbeiten wie eine Familie
87;3; in der Nähe von lrt kerinchi
88;3; Das Arbeitsumfeld hat eine positive Stimmung
89;3;Beste Arbeitsumgebung
90;3; Ein Arbeitsplatz
91;3;ich suche nach einer neuen Umgebung
92;3; Gute Arbeitsumgebung
93;3; Eine sehr gute und positive Stimmung
94;3; Arbeitsorte weit weg von meinem Zuhause
95;3; Die Umgebung ist großartig
96;3; gute Teamarbeit
97;3;gutes Arbeitsumfeld
98;3; täglich während der Abholstunde im Aufzug verpackt
99;3; schwache Kultur
100;3; spirituelle und Arbeitsumgebung
101;3; Das Arbeitsumfeld war hervorragend
